# Synthetic point estimates of Moho depth (from CRUST1.0)
# Generated by sinthetic-crust1.ipynb on 12 February 2016 18:08:15 UTC
# Moho depth is given in meters.
# lat lon depth
-16.23380 -71.48570 47385.98111
-16.21330 -71.41060 48474.71333
-16.24460 -71.34710 47971.85651
-16.05490 -71.41120 53260.60103
-16.06320 -71.36130 53295.26846
-16.02870 -71.28200 54761.44480
-15.98540 -71.26830 56123.28479
-15.95790 -71.20970 57212.93550
-15.91470 -71.19160 58557.53556
-15.87650 -71.12860 59906.96073
-15.83740 -71.09100 61140.72979
-15.80030 -71.06220 62254.66251
-15.77500 -71.02380 63036.85590
-15.76280 -70.97580 63461.28877
-15.75900 -70.89910 63731.45961
-15.72120 -70.82380 64793.67855
-15.68090 -70.78190 65738.21638
-15.66510 -70.75660 66100.17367
-15.71390 -70.61430 66151.04910
-15.67410 -70.57330 66887.32384
-15.68830 -70.49290 67234.52534
-15.67460 -70.42990 67473.25532
-15.67190 -70.37470 67521.28456
-15.62190 -70.34630 67747.21331
-15.60290 -70.29250 67743.51073
-15.57570 -70.25490 67779.30213
-15.54300 -70.18200 67675.56906
-15.51420 -70.18230 67841.92378
-15.46940 -70.10790 67713.63464
-15.42470 -70.07100 67714.69267
-15.35300 -70.05060 67902.06908
-15.31760 -70.03380 67909.71557
-30.10000 -72.00000 21439.63078
-30.15000 -71.75000 29978.38536
-30.20000 -71.20000 43178.61437
-30.25000 -70.75000 47910.15474
